question_list,label
Internet mati nih,Problem
Harga STB berapa ya?,Information
Internet saya putus sambung,Problem
Mengapa saya tidak dapat mengisi formulir relokasi? setelah disubmit hanya blank,Request
mengapa ketika ingin melakukan pembayaran tidak dapat diproses?,Information
bisa dibantu informasikan prosedur pergantian paket layanan?,Information
apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?,Information
apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?,Request
Internet mati,Problem
apakah order promo bisa diproses berkali-kali?,Information
Internet saya mati min dari semalam,Problem
sudah dicoba restart tapi masih sama,Unknown
apa saja syarat untuk pergantian nama akun biznet?,Request
berapa lama proses pergantian nama akun biznet?,Request
apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?,Information
saya mau pasang baru,Unknown
Ingin pasang baru,Request
apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?,Request
Ingin pasang baru di jonggol paket 0d,Request
bogor gunung putri,Unknown
boleh bantu ke cs ya,Unknown
Perum BDB 2 blok AS 12A rt 06 rw 13,Unknown
syarat relokasi apa saja?,Request
cara mengecek cakupan area melalui apa ya?,Information
proses relokasi berapa lama?,Request
bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?,Unknown
"bilamana alamat baru belum tercakup layanan biznet, syarat terminasi apa saja?",Request
setelah pengisian form terminasi saya harus menunggu berapa lama untuk akun diterimasi?,Request
jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?,Information
bilamana kedepannnya saya ingin berlangganan kembali apakah bisa menggunakan akun yang sebelumnya?,Request
apakah bisa freeze akun?,Unknown
apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?,Information
jika saya tidak melakukan pembayaran sebulan apakah dikenakan pinalti?,Information
bagaimana cara pendaftaran kartu kredit?,Information
apa saja paket yang tersedia di biznet?,Unknown
bagaimana cara beli modem?,Information
ini kenapa ya los merah menyala pada modem saya?,Problem
bisa dicek ID pelanggan 1000308564 los meah menyala sejak pagi?,Problem
los merah menyala sejak pagi,Problem
"pada modem saya lampu merah menyala sejak pagi, bisa dicek?",Problem
apakah ada kompensasi jika koneksi internet biznet terputus berhari-hari?,Problem
